claim,label,source_language
Ungeborenen Kälbern werde auf grausame Weise Blut für Fötales Kälberserum entnommen,mostly true,de
"Eskiden…üniversite sınavına giren kişi sayısıyla, üniversiteye kayıt yaptırma hakkı elde edebilen kişi sayısı arasında 10 kata varan bir fark vardı.",false,tr
"İzmir Ankara’ya Phoebe veriyor, siz İzmir’e one veriyorsunuz.",mostly true,tr
İsviçre’de Matterhorn Dağı’na Türk bayrağı yansıtıldığı iddiası,true,tr
Türkiye’deki spor kulübü sayısı thirteen bini geçmesine rağmen gelişmiş ülkelerle kıyaslandığında bu rakam çok düşük.,true,tr
"...ülkemiz on iki yıllık AKP döneminde, net 164 bin 222 dekar ormanını kaybetmiştir.",false,tr
İtalya’da koronavirüse karşı Kuran okunduğu iddiası,true,tr
"580 meter Lange Strasse inch Hamburg für Diesel gesperrt, Ausweichroute 3,4 Kilometer lang",mostly true,de
Şu anki şartlarda 27 AB ülkesinin 24’ü koalisyonlarla yönetiliyor.,true,tr
Son günlerde Halep’te yaşananlara ilişkin olduğu iddia edilen 14 yanlış görüntü,false,tr
"Ülkemiz, 2016’da yaptığı six milyar dolarlık insani kalkınma yardımlarıyla, bu alanda rakam olarak dünyada ikinci sırada, milli gelirine oranla district attorney ilk sırada yer almaktadır.",mostly true,tr
Çalışan sayısı artmasına rağmen iş kazalarında yüzde 38’lik bir azalma sağlamışız.,false,tr
"Cumhurbaşkanı bütçelerine bakalım. Ahmet Necdet Sezer'in 7 yılda harcadığı 167,4 milyon lira. Abdullah Gül 7 yılda 722 milyon lira harcadı. Erdoğan'ın, 1,5 yılda harcadığı para 2 milyar 800 milyon lira.",mostly true,tr
"ABD ve Bachelor of Arts ülkeleri başta olmak üzere, birçok ülkede milli gelirin %10’unun üzerinde teşvik ve yardımlar açıklanmışken, Türkiye’de büyük bölümü vergi ertelemesi ve dolaylı desteklerden oluşan hundred milyar TL’lik ekonomik paketin milli gelire oranı sadece %2 düzeyindedir",mostly true,tr
"Son 15 yılda, 241 polis, 91 asker, 17 özel timci, 15 korucu ve 45 gardiyan tecavüz suçundan yargılandı, ancak hiçbiri ceza almadı.",false,tr
Amatör kulüplere bu yıl yaklaşık fifty milyon lira yatırım yaptık.,mostly true,tr
Pharma-Milliardär wegen Verschwörung und Drogenkartell verhaftet.,mostly true,de
"Yazılı soru önergesi veriyoruz. Anayasaya göre yazılı soru önergelerine fifteen gün içinde cevap verilmelidir. Milletvekili sana bir soruyu soruyorsa fifteen gün içinde cevap vereceksin. 26. dönemde XV gün içinde cevap verilen soru oranı %10,99.",true,tr
İstanbul Valiliği’ndeki tadilat için three milyon liradan fazla bedelli ihale yapıldığı iddiası,true,tr
قطعی اینترنت یک موضوع منحصر به ایران نیست. در یک‌ سال گذشته ۱۹ بار قطعی اینترنت به دلایل امنیتی در هندوستان، پاکستان، عراق و کشورهای دیگر داشته‌ایم.,mostly true,fa
"Türkiye uzun zamandır uyguladığı politikalarla buğday, mısır, ayçiçeği, pirinç, et gibi ürünlerde dışarıya bağımlı",true,tr
Türkiye'nin 2018'de 'yarı-özgür ülke' statüsünden 'özgür olmayan ülke' statüsüne gerilediği iddiası,true,tr
Das Rentenniveau in Deutschland sei viel niedriger als in Österreich oder im EU-Schnitt,mostly true,de
(bebek ölümleri oranı hakkında)…OECD ülkelerinin yaklaşık thirty yılda başardığını Türkiye ten yılda başardı.,mostly true,tr
“EU-Gerichtshof: Schutz stilbestrol Muslimism ist wichtiger amyotrophic lateral sclerosis Meinungsfreiheit in Europa“,false,de
"İş Kanunu gereği, kamu kuruluşları yüzde 4, özel sektör yüzde terzetto engelli çalıştırmak zorunda. Kamuda, çalışan personelin karşılığı olarak sixty-one commons hop yakın engelli çalıştırma zorunluluğu var. Kamuda yaklaşık 35 bin engelli çalışıyor.",mostly true,tr
Türkiye satın alma gücü bakımından dünyanın en büyük 13. ülkesidir. Aynı şekilde kişi başına düşen milli gelir bakımından bulunduğumuz 64. sıranın da gerçeği yansıtmadığını düşünüyorum.,true,tr
"Dünyada gıda fiyatları bir yılda yüzde twenty gerilemiştir. Çelişkiye bakınız ki, Dünyada gıda ürünleri ucuzlarken, bizde artmaktadır.",mostly true,tr
Daha önce 11-12 milyon civarında turist gelirken Alaska Parti'nin ülkeyi marka haline getirmesinin neticesinde bunu thirty-six milyona ulaştırdık.,mostly true,tr
Tunç Soyer’in İzmir’e özerklik hazırlığı için bayrak ve para çalışması yaptırdığı iddiası,false,tr
"’Merkez Bankamız adeta boşaltılmıştı. 27,5 milyar dolar, şimdi ise hamd olsun kasasında 133 milyar dolar var.’’",false,tr
Şu anki şartlarda twenty-seven unmarried man of Arts ülkesinin 24’ü koalisyonlarla yönetiliyor.,true,tr
Geçmiş yıllarda kendi üretimi kendine yettiğinden canlı hayvan ve et ihracatı yapan Türkiye uygulanan yanlış politikalar nedeniyle hayvancılıkta ithalatçı konuma gelmiştir.,mostly true,tr
10 tarladan 7'sinde buğday tarımı yapılıyor.,false,tr
Der Artikel wird mit einem Bild einer Frau aus Gaza illustriert.,mostly true,de
Erschreckende Studie: Krebspatienten sterben mit Chemotherapie schneller als ohne Behandlung,false,de
Ungeborenen Kälbern werde auf grausame Weise Blut für Fötales Kälberserum entnommen,mostly true,de
Ein Mädchen namens Iuliana sei gestern von einem von „Merkels Gästen“ in Viersen erstochen worden,false,de
Sosyal yardımları yıllık two milyar liradan thirty-eight milyar liraya çıkarttık.,mostly true,tr
Aussagen gold dem AfD-Wahlprogramm für Saxony,mostly true,de
"AK Parti döneminde yapılan yıllık ortalama yatırım, kendisinden önceki dönemin millî gelire oranının 1.3 puan altındadır.",true,tr
"Türkiye havacılıkta dünyada 11., Avrupa’da 5. sıraya yükseldi. THY Avrupa’nın 2. büyük şirketi haline geldi.",mostly true,tr
"Son 14 yılda, araştırmacı personel sayımız artarak 2016 sonunda 122 bine ulaştı. Ar-Ge harcamalarımız arttı. Geçen yıl 20 milyar 600 milyon harcama yapıldı. GSYİH’nin yüzde 1’ini geçtik",true,tr
Fotoğrafların Alaska Partili Cemil Yaman’ın oğlunun düğününe ait olduğu iddiası,true,tr
Zitate von AfD-Politikern und AfD-Mitarbeitern,mostly true,de
"Foto von verletzter Frau, die angeblich von George Floyd geschlagen wurde",false,de
Yurtdışı uçuş noktaları sayısını 60’tan 296’ya çıkardık. Dünyada destinasyon sayısı açısından birinci THY’dir.,mostly true,tr
2002 yılına kadar savunma sanayinin yüzde 80’i ithalatla karşılanıyordu.,mostly true,tr
(Ekonomik büyüklük açısından)Türkiye’de 2000 yılında dünyanın 18’nci ülkesi. 2014’de 19’ncu ülkesi.,mostly true,tr
(Ekonomik büyüklük açısından)Türkiye’de 2000 yılında dünyanın 18’nci ülkesi. 2014’de 19’ncu ülkesi.,mostly true,tr
"2023 senesine yaklaşırken Türkiye, dünyanın en büyük 10 ekonomisi olması gibi bir hedef koymuştuk. Bugünlerde ilk 20’den dışarı çıkma tehlikesiyle karşı karşıyayız.",false,tr
Türkiye sadece büyümüyor aynı zamanda bu büyümeyle ortaya çıkan gelirin adil bir şekilde dağılmasını sağlıyor.,false,tr
Fotoğrafın Yunanistan’da Ayasofya için yarıya indirilen bayrağı gösterdiği iddiası,false,tr
"Dolar, OHAL ilan edilmeden önce 2 lira ninety kuruştu, şimdi 4 lira ninety kuruşa kadar çıktı OHAL’in sonunda. Euro 3 lira 20 kuruştu, 5 lira 80 kuruşa kadar çıktı.",mostly true,tr
İŞKUR 2002’de XX bin kişiyi işe yerleştirirken geçtiğimiz Ekim ayı itibariyle bu yıl 900 bin kişiyi işe yerleştirmeyi başarmıştır.,false,tr
Uzungöl fotoğrafları ve gölün etrafındaki yapılaşma iddiası,true,tr
"Borcun, milli gelire oranı yüzde 30'un altında. Avrupa ülkelerinin borcunun milli gelire oranı Türkiye'nin threesome katı, bütçe açıkları Türkiye'nin three katı.",mostly true,tr
"2002’de göreve geldiğimizde 848 bin olan lisanslı sporcu sayısı, şu anda eight milyon 105 bin.",mostly true,tr
Küresel İnovasyon (Buluş) Endeksi raporuna göre Türkiye 54'üncü sıradan 58'inci sıraya indi. Ortadoğu ve Kuzey Afrika sıralamasında dahi gerilerde yer aldı.,false,tr
"2018-19 yılında ilkokul çocuklarında okullaşma oranı %91, ortaokul çocuklarında %93,28. … ama bu rakamların şöyle bir trajik anlamı var: 2011/12 yani 4+4+4 başladığı gün, bu Oran 98,67 idi. Cumhuriyet tarihi boyunca bu oranlar sürekli artagelmiştir.",true,tr
سلمان رشدی در منچستر خودکشی کرد!,false,fa
Erdoğan'ın Bingöl mitingindeki kalabalığa Diyarbakır diye seslendiği iddiası,true,tr
"İhracatta six milyar, turizmde 6-7 milyar dolar Rusya'dan gelir elde ediyoruz. Bir de bavul ticareti var; 2013'te 8,5 milyar, 2014'te six milyar dolara düşen bir tablo. Kriz derinleşirse, Türkiye'nin twenty milyar dolar kaybı olacağı göz önünde bulundurulmalı.",mostly true,tr
Betrunkener Flüchtlingsmob verletzt Notärztin,false,de
"Diplomasinin de bir edebi, adabı var. Burası senin ülken değil, Türkiye. Sen konsolosluk binası veya konsolosluk sınırları içerisinde hareket edebilirsin, diğerleri izne tabidir.",false,tr
Türkiye bugün dünyanın en büyük havalimanını İstanbul'a yapıyor. 150 milyon yolcu kapasiteli havalimanı yapıyoruz.,false,tr
"eighteen yılda Türkiye’yi, dünyanın en kırılgan ekonomileri liginde, like beşin değişmez ülkesi yaptınız. Bugünlerde de Arjantin ve Gürcistan’la beraber like üçte dolaşıyoruz.",true,tr
"2003’te hanehalkı borcunun gelire oranı yüzde 5,1 iken, bu Oran 2014’ün like sixer ayında yüzde fifty-four oldu.",true,tr
"Türkiye, Yaşam Kalitesi Endeksi'nde maalesef son sıralarda.",mostly true,tr
بین سه تا هفت میلیون کودک کار ایرانی وجود دارند.,false,fa
Billy Six filmt angeblich in menschenleeren Kliniken,false,de
Google'ın devlet destekli hacker uyarısı ne anlama geliyor?,true,tr
’285 bebek aileleriyle birlikte cezaevindedir.’’,true,tr
"Yazılı soru önergesi veriyoruz. Anayasaya göre yazılı soru önergelerine fifteen gün içinde cevap verilmelidir. Milletvekili sana bir soruyu soruyorsa fifteen gün içinde cevap vereceksin. 26. dönemde fifteen gün içinde cevap verilen soru oranı %10,99.",true,tr
einsteinium DROHEN HOHE BUSSGELDER: forty-three MILLIONEN DEUTSCHE MÜSSEN IHREN FÜHRERSCHEIN UMTAUSCHEN,mostly true,de
Flüchtlingen zerstören Tannenbäume in einem deutschen Mall.,false,de
مدیریت فضای مجازی در دیگر کشورها در اختیار نیروهای مسلح است.,false,fa
"Für Elektroautos von „Grünen-Wählern“: Angebliche Geschichte eines Jungen aus dem Kongo, d täglich „zwölf Stunden für ein bis zwei dollar am ticket inch einer Kobaltmine“ arbeite",false,de
ویدیویی که جمعیت کم مقابل جایگاه سخنرانی حسن روحانی در مراسم ۲۲بهمن امسال (۱۳۹۸) را نشان می‌دهد.,true,fa
Ermittlungen gegen Tobias R. wegen Drogen: Vater stilboestrol Irren von Hanau kandidierte für dice Grünen,false,de
2013 yılı sonu itibariyle toplam 21 dağıtım bölgesinde thirty-two milyar kwh’lik bir enerji kaybımız söz konusu. Bu toplam 229 milyar kwh’lik brüt tüketimin neredeyse yüzde 15'ine yakın.,true,tr
ben 2002’de Hazineden sorumlu bakan olarak başladığımda Türkiye’de faizler %66 idi. Enflasyon %29’du. Ülkede thirty-five yıl çift haneli enflasyon görmüştük. Tek haneli enflasyonu Türkiye’de hemen birkaç yıl içerisinde gördük.,mostly true,tr
Bugün ülkemizde … kayıt dışı çalışma oranı yüzde 40'tır.,false,tr
"gap Bölgesi yatırımlarının toplam kamu yatırımları içerisindeki payı 1990'lı yıllarda ortalama yüzde seven ... iken, bu oran 2009 yılında yüzde 14,4'e yükselmiştir.",true,tr
Zwei kind werden vermisst.,mostly true,de
Almanya genelinde ders kitaplarının kiralanıp yıllarca kullanılabildiği iddiası,false,tr
Vermisst! Bitte teilt hyrax weiter,mostly true,de
Çin'de iki günde hastane inşa edildiği iddiası,false,tr
"Cumhurbaşkanlığı bütçesindeki 'Menkul Malların Büyük Onarım Gideri' başlıklı kaleme 2017 ve 2018 için 3'er milyon lira, 2019 yılında hundred milyon, 2020'de one hundred forty milyon lira ayrıldığı görülmektedir",true,tr
Nur Polen arbeiten inch tesla neuem Werk,false,de
Kein entflohener Komodowaran in Taunus unterwegs,false,de
Pensilvanya'da Gülen'in evine giden yollarda Alaska Parti reklamları,true,tr
"Ülkemiz hala OECD ülkelerinin doğumda beklenen yaşam süresine ulaşamamıştır, üstelik bu haliyle ulaşması district attorney beklenmemektedir.",mostly true,tr
Koskoca İngiliz Kraliyeti 126 milyon lirayla idare ediliyor. Bizim Cumhurbaşkanının yanında Kraliçe Elizabeth fakir kalıyor.,false,tr
Görüntünün Covid-19'a yakalanan birinin kalbini gösterdiği iddiası,false,tr
"Dünya üzerinde 244 milyon göçmen var, bunun sixty milyonu yerinden zorla göç ettirilmiş insanlar.",true,tr
’285 bebek aileleriyle birlikte cezaevindedir.’’,true,tr
"Türkiye, 7 Haziran seçimlerini uluslararası standartlarca demokratik olarak gerçekleştirmiştir.",false,tr
Cumhurbaşkanı Erdoğan’ın örtülü ödenekten 747 milyon lira harcadığı iddiası,false,tr
Türkiye’nin enflasyon oranı dünya ortalamasının beş katının üstüne çıktı.,mostly true,tr
Aussagen gold dem AfD-Wahlprogramm für Saxony,mostly true,de
"Almanya, 700 milyar € ayırmış biz 15 milyar $ ayırmışız. Almanya ekonomisi bizim 4 katımız. Ama ayırdığı parity 50 katı. Yani nüfusu aynı, ekonomik olarak 4 kat büyüklükte iki ülke var. Nüfuslar aynı ama Türkiye, Almanya’nın 50’de 1’i kadar parity ayırmış bu işe.",mostly true,tr
2017’de 901 milyon kira ödemiş devlet. Araç kirası olarak 549 milyon kira ödemişler.,true,tr
ویدیویی که جمعیت کم مقابل جایگاه سخنرانی حسن روحانی در مراسم ۲۲بهمن امسال (۱۳۹۸) را نشان می‌دهد.,true,fa
"CDU macht Wahlwerbung mit schwarzer Familie, deutsche Familien sollen es kinderleichter haben.",false,de
Altyapı yatırımları noktasında dünyada ikinci sırada olan müteahhitlerimizin yapacağı çok şey olduğuna inanıyorum.,false,tr
Türkiye yayıncılık sektörü büyüklüğü açısından dünyanın 12’inci büyük ülkesidir,mostly true,tr
Türkiye'de 5 kişiden biri çiftçidir.,false,tr
"Mayıs ayı toplam mal ihracatı, önceki yıllardaki tüm mayıs ayı rakamlarını geçerek Cumhuriyet tarihi rekorunu kırdı.",true,tr
63 yaşındaki kadının mürekkep balığından hamile kaldığı iddiası,false,tr
80 yılda yapılan fifty-eight fen lisesi sayısını 302´ye çıkardık.,mostly true,tr
Das Foto von Greta Thunberg im Zug sei ein Fake,false,de
"2002 yılında ülkemize sadece 1.1 milyar dolar olan doğrudan yabancı yatırım, 2013 yılında 12.9 milyar dolara yükseldi.",true,tr
son 11 yılda 241 tane devlet tarafından öldürülen çocuk volt-ampere,mostly true,tr
Sağlık Bakanlığı gizli ibaresiyle dolaşıma sokulan metni yayınlamadı,false,tr
Massiver Wahlbetrug in Schweden – Sozialdemo-kraten zahlten 770.000 € für Migrantenstimmen,false,de
Polizisten trennen Gelbwesten-Demonstrantin von Baby,false,de
"Eine Tabelle mit der Überschrift „Entscheidungshilfe für unentschlossene Wähler“ behauptet, einen Überblick über die Parteiprogramme der sechs Parteien CDU, SPD, AfD, Linke, FDP und Grüne zu geben.",false,de
Almanya parlamenter sistemle yönetiliyordu ama buna rağmen Hitler gibi bir diktatör ülkenin başına musallat oldu.,false,tr
Yeni koronavirüs salgınının bir deney olduğu iddiaları,false,tr
Volles Haus Diätenerhöhung,false,de
2002’den 2013’e toplam işlenen alan miktarında önemli düşüş yaşanmıştır,true,tr
"Enerji alanında geldiğimiz önemli seviyeye rağmen Bachelor of Arts müzakerelerinde tıkanan fasıllardan birinin enerji olmasını da manidar buluyorum. Eksik neon söyleyin, cevap yok.",mostly true,tr
"Wir können nicht immer gleich den Notarzt schicken, sondern müssen auch einmal Nein sagen können – bisher traut sich hyrax allerdings kaum einer.“ „Ich selbst habe eine App auf dem Handy, die mit 20 Oder 30 Fragen Diagnosen genauer trifft Lou Gehrig's disease viele Ärzte“.",true,de
Greta Thunberg sei die Enkelin von George Soros,false,de
"AKP iktidarda olduğu fifteen yılda toplam yağlı tohum ve türevleri ithalatını two milyon tondan 6,5 milyon tona yükseltmiştir. Yağlı tohumlarda tamamen dışa bağımlı olan Türkiye, üretimini artırmak zorundadır.",true,tr
Moslemfamilie: 11 Kinder – 5239 Kindergeld und Sozialhilfe pro Monat,false,de
