claim,label
A Haber'in ABD'yi TL korkusu sardı şeklinde bir alt bant kullandığı iddiası,true
Asylbewerber erhalten Führerschein trotz ungültiger Papiere.,mostly true
قطعی اینترنت یک موضوع منحصر به ایران نیست. در یک‌ سال گذشته ۱۹ بار قطعی اینترنت به دلایل امنیتی در هندوستان، پاکستان، عراق و کشورهای دیگر داشته‌ایم.,mostly true
Verschiedene Zitate von Grünen Politikern,mostly false
(Ekonomik büyüklük açısından)Türkiye’de 2000 yılında dünyanın 18’nci ülkesi. 2014’de 19’ncu ülkesi.,mostly true
"Bild zeigt schwarzen Löwen, von denen es nur zwei auf der Welt gibt.",false
(Maden kazalarını) önlemek için ne yapacağız? Teknoloji ağırlıklı havza ve proje madenciliği yapacağız. Tüm muhataplara bakacağız. Benim tarafımda sadece teftiş var.,mostly false
"Eine Broschüre bringt Kinder in Berlin „Analverkehr, Fesselspiele oder lesbische Leckspiele“ bei.",false
Ei ohne Schale wird im Supermarkt verkauft,false
"Cumhurbaşkanlığı bütçesindeki 'Menkul Malların Büyük Onarım Gideri' başlıklı kaleme 2017 ve 2018 için 3'er milyon lira, 2019 yılında 100 milyon, 2020'de 140 milyon lira ayrıldığı görülmektedir",true
Bizim dönemimizde sadece son 7 yılda yaklaşık 7 milyon insanımıza istihdam oluşturduk,false
101-jährige gebiert Kind.,false
Corona ist nicht schlimmer als ein Grippevirus,mostly false
Grüne sind beteiligt an Bau eines Kohlekraftwerkes in Griechenland,mostly false
2017’de bir ayıptan söz edeyim size. 1 milyon 897 bin 524 çocuğumuz okullaşamadı.,true
Karantina şartlarına uymamak TCK’ya göre suçtur,true
Ein Mädchen wird in Koblenz vermisst.,false
"Uygulanan bu politikalardandır ki, ülkemizde pamukta üretimin tüketimi karşılama oranı yüzde 30'lara kadar düşmüştür.",mostly false
Parası değer kaybeden gelişmekte olan ülkelerin tamamı petrol üretenler.,mostly false
"Bill Gates gibt offen zu, dass die Impfstoffe der Bevölkerungsreduktion dienen. Ihm zufolge müssen täglich 350.000 Menschen beseitigt werden, um die Population stabil zu halten. Er erklärt, wie wir alle einer „Menschentötungsstrategie“ zustimmen müssen, um den Planeten vor unserem Kohlendioxid-Ausstoß zu retten. Jeder kann sich selbst davon überzeugen, dass er das wirklich gesagt hat",false
"Derlenen verilere göre, 2008’de 256 bin (…) 2017 yılında 600 bin dolayında olan hırsızlık vakası toplumu can ve mal güvenliği açısından tedirgin etmektedir.",mostly true
AK Parti hükûmetleri boyunca 5 milyon 600 bin işsize iş kapısı açıldı.,mostly false
"ABD ve AB ülkeleri başta olmak üzere, birçok ülkede milli gelirin %10’unun üzerinde teşvik ve yardımlar açıklanmışken, Türkiye’de büyük bölümü vergi ertelemesi ve dolaylı desteklerden oluşan 100 milyar TL’lik ekonomik paketin milli gelire oranı sadece %2 düzeyindedir",mostly true
"Kanal İstanbul için merkezi hükumetin harcayacağı para, Çevre ve Şehircilik Bakanlığı’nın depremden bu ülkeyi kurtaracak kentsel dönüşüme ayırdığı paranın tam 7 katıdır",true
"580 Meter lange Strasse in Hamburg für Diesel gesperrt, Ausweichroute 3,4 Kilometer lang",mostly true
"Öğrenim gören 434 bin mühendis ve mimarlık öğrencisi işsizlik tehdidiyle karşı karşıya, 100 bini aşkın mühendis ve mimar işsiz.",mostly false
Barajı aşamazsak yüzde 18 civarında irade parlamentoya yansımayacak demektir.,mostly false
"Jetzt aber mal Klartext. Die größte deutsche Raffinerie ist die Shell Raffinerie in Köln - Godorf und Wesseling. Godorf wird per Rotterdam-Rhein Pipeline direkt vom Ölhafen Rotterdam beliefert, Wesseling bekommt das Öl über die Nordseepipeline direkt aus Wilhelmshaven. Es erfolgt keine Anlieferung von Rohöl per Schiff. Lediglich Spezialraffinate und Gase werden per Schiff an die Abnehmer weitergeleitet. Tankstellen und Zwischenlager werden ebenfalls nicht mit Binnenschiffen sondern per Lkw beliefert. Die Kapazität der Raffinerie reicht nach eigenen Angaben aus um ⅕ Deutschlands mit Kraftstoffen zu versorgen. Zur Zeit ist von keinen Betriebsstörungen zu hören. Wie kann da der Rheinpegel Ursache für diese merkwürdige Verknappung der Kraftstoffe und die damit verbundene Preissteigerung sein?",mostly false
Ermittlungen gegen Tobias R. wegen Drogen: Vater des Irren von Hanau kandidierte für die Grünen,mostly false
Fındığın alım fiyatı 13 yıl önce 5 dolar iken şu anda 2 dolar bile değil.,mostly true
Schon vor 20 Jahren existierte eine Impfung gegen das „neuartige“ Coronavirus,mostly false
Ağzında cerrahi maske taşıyan martı fotoğrafının Van'dan olduğu iddiası,false
"G20’nin kalkınma hedefi yüzde 2, Türkiye ise ortalama yüzde 5 büyüyor",mostly true
"Biz burada 38 yasa çıkardık. Cumhurbaşkanı 41 Cumhurbaşkanlığı kararnamesi çıkardı. Toplam sayı olarak, yasaların toplam maddesi 669, Cumhurbaşkanının kararname madde sayısı 1.915 yani 3 misli daha fazla yasama çalışması yapılmış oldu sarayda.",true
2002'den bugüne kadar öğrenci sayısı 1 buçuk milyondan 5 buçuk milyona yükseldi.,mostly true
4-Jähriges Kind missbraucht und Staatsanwalt lässt Täter (Flüchtling) frei.,mostly false
Foto zeigt Wahlbetrug durch Briefwahl für Koma-Patienten im Krankenhaus,false
Hiçbir koalisyon döneminde ülkede kalkınma görülmedi.,false
در حالی که اقتصاد کشورهای منطقه در ۲۹ سال گذشته بین ۳ تا ۹ برابر رشد کرده، تولید ناخالص داخلی ایران به نسبت سال ۱۹۹۰ کمتر شده است.,false
"Turizmde Türkiye'de yüzde 2,5 gerileme yaşandı.",mostly false
Coronavirus in Italien: Keiner ist gestorben,mostly false
(Rusya ile) Geçtiğimiz yıl ticaret hacmimizde yüzde 30'luk artış sağladık.,true
Migrantengangs lieferten sich Straßenschlacht in Wiesbaden. Unsere Städte sind clanbeherrschte Gefahrenzonen.,mostly true
Türkiye'de elektrik üretimi tüm zamanların en yüksek değeri olan 43 bin megavatın üzerine çıktı.,mostly true
ABD bankalarını hackleyen Hamza Bendelladj'ın idam cezasına çarptırıldığı iddiası,mostly false
فیلم مراسم عروسی زینب سلیمانی,false
Migranten verfügen über namenlose Mastercards mit EU- und UNHCR-Logo,mostly false
457 milyar dolar borç aldılar. 70 milyar dolar özelleştirme yaptılar.,mostly false
Das Coronavirus gehe bei 40 Grad „kaputt“ und „Überwärmungsbäder“ seien ein „wunderbarer Schutz“ gegen das Virus,mostly false
"Senegalese versucht, behinderte Rollstuhlfahrerin zu vergewaltigen",mostly false
Türkiye'de ve Avrupa'da bulunan Starbucks şubelerinin sayıları hakkındaki iddialar,true
Warum rettete nicht einfach der Typ neben dem Kind das Kind?? Komisch?“,false
Bei einem Ausbruch des Ätna wird mehr CO2 ausgestoßen als der Mensch jemals produziert hat,false
Katar’da darbe olduğu ve videonun silahlı bir çatışmayı gösterdiği iddiası,false
"Türkiye’de demiryollarında 2002 yılında 74 milyon kişi taşınırken 2013 yılında 46 milyon taşındı. İnsanlar karayoluna mahkum oldu, kazalar arttı",mostly true
Videonun Afrin harekatı sırasında atılan roketleri gösterdiği iddiası,mostly false
Fotoğrafın Çin'deki benzin zammını protesto eden insanları gösterdiği iddiası,false
(bebek ölümleri oranı hakkında)…OECD ülkelerinin yaklaşık 30 yılda başardığını Türkiye 10 yılda başardı.,mostly true
ZDF: Für heute um 16 Uhr geplanter Artikel zur Corona-Demo wurde schon gestern frei geschaltet,mostly false
"2015’in ilk 3 çeyreğinde yüzde 4’lük büyüme ile ülkemiz OECD ülkeleri arasında 2.sırada, G20 ülkeleri arasında 4.sırada yer alıyor.",mostly false
„Time“-Magazin wählte Adolf Hitler und Greta Thunberg zur „Person des Jahres“,mostly true
"Türkiye için AB, ABD’den 10 kat daha önemli bir ticari partner. Türkiye, ihracatının yüzde 50’sini AB’yle, yüzde 5'ini ABD’yle yapıyor.",true
Başbakanlık Osmanlı Arşivleri'nin eski binasının otele dönüştürüldüğü iddiası,true
"500€ Monatlich EU, verschenkt 1,3 Mrd mit anonymen Kreditkarten weltweit",mostly false
80 yılda yapılan 58 fen lisesi sayısını 302´ye çıkardık.,mostly true
"Das kleine Deutschland stellt nur ca. 1% der Weltbevölkerung, hat aber 2016 bereits mehr Asylanträge angenommen, als die ganze übrige Welt zusammen!!!",mostly false
"Ülkemizdeki iş gücü son 10 yılda, 7 milyon 775 bin kişi artmıştır. Bu rakam neredeyse 7 milyon 842 bin olan 28 Avrupa Birliği üyesinin toplam iş gücü artışı kadardır.",true
13 Ağustos’ta koalisyon sürecinin sıkıntıya girdiği andan itibaren dolar Türk lirası karşısında yüzde 22 değer kazandı.,false
"Biz iktidara geldiğimizde toplanan her 100 liranın 86 lirası faize gidiyordu, şimdi 12 lirası gidiyor.",mostly true
قطعی اینترنت یک موضوع منحصر به ایران نیست. در یک‌ سال گذشته ۱۹ بار قطعی اینترنت به دلایل امنیتی در هندوستان، پاکستان، عراق و کشورهای دیگر داشته‌ایم.,mostly true
"2018-19 yılında ilkokul çocuklarında okullaşma oranı %91, ortaokul çocuklarında %93,28. … ama bu rakamların şöyle bir trajik anlamı var: 2011/12 yani 4+4+4 başladığı gün, bu oran 98,67 idi. Cumhuriyet tarihi boyunca bu oranlar sürekli artagelmiştir.",true
„Strahlende“ Lebensmittel aus #Fukushima,mostly true
"Tafeln, Bundestagsdiäten, Kinderarmut",mostly true
Wassertrinken und Gurgeln hilft gegen das Coronavirus,false
Video von ertrinkenden Flüchtlingen in Kreta zeigt Medienmanipulation.,false
AKP döneminde nüfusun yüzde 1’i servetin yüzde 60’ına sahip oldu. Bu rakam 2002 yılında yüzde 38’di.,true
"Satın alma gücü paritesine göre kişi başına gelir 2002 yılında Avrupa Birliği ortalamasının yüzde 37'si düzeyindeyken, bunu yüzde 62'ye çıkardık.",true
Bayern zahlt keine Sofort-Hilfe für Unternehmen bis 10 Mitarbeiter – Enttäuschung für viele Unternehmen,mostly false
Videodaki zeytin ağaçlarının Afrin’den Hatay’a taşındığını gösterdiği iddiası,false
ماجرای عجیب پدر و دختری که سوژه عکاس می‌شوند در حالیکه پنجاه سال پیش غرق شده بودند.,false
Video auf Facebook: bei den angreifern soll es sich um libanesen handeln. tatort soll gelsenkirchen sein!,mostly true
"(Küresel ısınmanın Türkiye üzerine etkisi hakkında) Türkiye genelinde yağış miktarı geçen yıl ortalamalarına göre yüzde 37,5 oranında azaldı",mostly true
Fotoğrafın Hz. Muhammed’in türbesini gösterdiği iddiası,false
HES Santrali’nden derelere verilen suyun oksijen oranı daha yüksektir.,false
Merkez Bankası'nın rezervi 120 milyar dolar. Bu güç onları ürkütüyor.,mostly false
AK Parti iktidara gelmeden önce ataması yapılmamış öğretmen kalmayacağını vaad etti.,mostly true
Alman bira firmasının piyasaya sürdüğü bira şişesinde 'La İlahe İllallah' yazdığı iddiası,true
Plakat mit Spruch „Bis jedes Dorf eine Moschee hat“,mostly false
Eğitim bütçesinin yaklaşık yüzde 90'ını zorunlu harcamalar oluşturmaktadır.,mostly true
"Bursa'yı bir dolaşın. En geri kalmış ilçesi Nilüfer. Çankaya Ankara'nın gözbebeğiydi. Şu an Çankaya, Ankara'nın en geri kalmış yeri.",false
ویدیوی نماز جمعه ۴ آبان ۵۸ به امامت آیت‌الله منتظری چند روز پیش از تسخیر سفارت آمریکا که در صف اول نماز اعضای سفارت آمریکا، انگلیس و یک یهودی شرکت دارند.,false
Fotoğraf Osmanlı'da seyyar elma şekercisini göstermiyor,false
Black Friday ifadesinin köle ticaretinden geldiği iddiası,false
"Milli Eğitim'in bütçesi 7 milyar TL iken, bu sene 70 milyar TL'ye yükselttik.",mostly false
US-Behörde (NIH) bestätigt: 5G-Strahlung kann Corona-Erkrankungen verursachen!,mostly false
AB'nin Türk vatandaşları için vize işlemlerini süresiz durdurduğu iddiası,mostly false
Zerstörung des Corona-Hypes,mostly false
Videonun Maduro’nun çağrısından sonra hükümet yanlısı Venezuelalıların yürüyüşünü gösterdiği iddiası,false
Son günlerde Halep’te yaşananlara ilişkin olduğu iddia edilen 14 yanlış görüntü,false
‘Dağdan geçmeyen tünel’ fotoğrafı aslında neyi gösteriyor?,true
Sayıştay toplantı salonuna Sultan Abdülaziz'in resminin asıldığı iddiası,mostly false
Diyanet’in üvey torunun dedeye haram olmadığı fetvasını verdiği iddiası,mostly false
İranlı çiftin sosyal medya paylaşımları nedeniyle hapis cezasına çarptırıldığı iddiası,true
